Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
trainit_suite,Chrome 73.0.3683.86,,2019-04-09 12:19:20,2019-04-09 12:19:43,22.954s,FAILED
,,,,,,
Test Cases/training/FirstTestCase,Chrome 73.0.3683.86,,2019-04-09 12:19:20,2019-04-09 12:19:31,11.227s,PASSED
"openBrowser("""")",Chrome 73.0.3683.86,,2019-04-09 12:19:20,2019-04-09 12:19:24,4.328s,PASSED
"navigateToUrl(""https://www.onliner.by/"")",Chrome 73.0.3683.86,,2019-04-09 12:19:24,2019-04-09 12:19:27,2.184s,PASSED
"click(findTestObject(""Object Repository/onliner_mobile/Page_Onliner/mobile_catalog_btn""))",Chrome 73.0.3683.86,,2019-04-09 12:19:27,2019-04-09 12:19:30,3.268s,PASSED
"verifyElementVisible(findTestObject(""Object Repository/onliner_mobile/Page_/mobile_catalog_title""))",Chrome 73.0.3683.86,,2019-04-09 12:19:30,2019-04-09 12:19:30,0.103s,PASSED
"assert getText(findTestObject(""Object Repository/onliner_mobile/Page_/mobile_catalog_title"")) == ""Мобильные телефоны""",Chrome 73.0.3683.86,,2019-04-09 12:19:30,2019-04-09 12:19:30,0.113s,PASSED
closeBrowser(),Chrome 73.0.3683.86,,2019-04-09 12:19:30,2019-04-09 12:19:31,0.914s,PASSED
,,,,,,
Test Cases/training/Open Car Catalog page,Chrome 73.0.3683.86,,2019-04-09 12:19:31,2019-04-09 12:19:42,10.465s,FAILED
"openBrowser(""https://www.onliner.by/"")",Chrome 73.0.3683.86,,2019-04-09 12:19:31,2019-04-09 12:19:36,4.986s,PASSED
maximizeWindow(),Chrome 73.0.3683.86,,2019-04-09 12:19:36,2019-04-09 12:19:37,1.180s,PASSED
"waitForElementVisible(findTestObject(""Page_Onliner/img__onliner_logo""), 3)",Chrome 73.0.3683.86,,2019-04-09 12:19:37,2019-04-09 12:19:38,0.307s,PASSED
"waitForElementPresent(findTestObject(""Object Repository/script_mode/Page_Onliner/span_""), 3)",Chrome 73.0.3683.86,,2019-04-09 12:19:38,2019-04-09 12:19:38,0.052s,PASSED
"click(findTestObject(""Object Repository/script_mode/Page_Onliner/span_""))",Chrome 73.0.3683.86,,2019-04-09 12:19:38,2019-04-09 12:19:41,3.169s,PASSED
waitForPageLoad(5),Chrome 73.0.3683.86,,2019-04-09 12:19:41,2019-04-09 12:19:41,0.050s,PASSED
"waitForElementVisible(findTestObject(""Object Repository/script_mode/Page_        -/h1_""), 5)",Chrome 73.0.3683.86,,2019-04-09 12:19:41,2019-04-09 12:19:41,0.072s,PASSED
"selectOptionByValue(findTestObject(""script_mode/Page_/select_""), ""5"", false)",Chrome 73.0.3683.86,,2019-04-09 12:19:41,2019-04-09 12:19:41,0.284s,PASSED
"waitForElementPresent(findTestObject(""Object Repository/script_mode/Page_        -/h1_""), 5)",Chrome 73.0.3683.86,,2019-04-09 12:19:41,2019-04-09 12:19:41,0.033s,PASSED
waitForPageLoad(5),Chrome 73.0.3683.86,,2019-04-09 12:19:41,2019-04-09 12:19:41,0.013s,PASSED
"carCatalogTitle = getText(findTestObject(""Object Repository/script_mode/Page_        -/h1_""))",Chrome 73.0.3683.86,,2019-04-09 12:19:41,2019-04-09 12:19:42,0.046s,PASSED
"verifyEqual(carCatalogTitle, ""BMW"")",Chrome 73.0.3683.86,,2019-04-09 12:19:42,2019-04-09 12:19:42,0.042s,FAILED
